Time,Tweets
10/12 00:15,14
10/12 01:15,22
10/12 02:15,65
10/12 03:15,88
10/12 04:15,137
10/12 05:15,125
10/12 06:15,95
10/12 07:15,112
10/12 08:15,116
10/12 09:15,93
10/12 10:15,106
10/12 11:15,134
10/12 12:15,160
10/12 13:15,172
10/12 14:15,144
10/12 15:15,131
10/12 16:15,121
10/12 17:15,114
10/12 18:15,80
10/12 19:15,57
10/12 20:15,35
10/12 21:15,15
10/12 22:15,16
10/12 23:15,8
10/13 00:15,25
10/13 01:15,32
10/13 02:15,49
10/13 03:15,58
10/13 04:15,66
10/13 05:15,75
10/13 06:15,43
10/13 07:15,40
10/13 08:15,45
10/13 09:15,29
10/13 10:15,23
10/13 11:15,36
10/13 12:15,36
10/13 13:15,35
10/13 14:15,33
10/13 15:15,26
10/13 16:15,28
10/13 17:15,26
10/13 18:15,22
10/13 19:15,5
10/13 20:15,11
10/13 21:15,5
10/13 22:15,1
10/13 23:15,4
10/14 00:15,3
10/14 01:15,3
10/14 02:15,7
10/14 03:15,14
10/14 04:15,25
10/14 05:15,12
10/14 06:15,12
10/14 07:15,18
10/14 08:15,13
10/14 09:15,9
10/14 10:15,11
10/14 11:15,5
10/14 12:15,5
10/14 13:15,16
10/14 14:15,14
10/14 15:15,10
10/14 16:15,11
10/14 17:15,9
10/14 18:15,1
10/14 19:15,9
10/14 20:15,5
10/14 21:15,1
10/14 22:15,1
10/14 23:15,1
10/15 00:15,1
10/15 01:15,2
10/15 02:15,1
10/15 03:15,1
10/15 04:15,3
10/15 05:15,2
10/15 06:15,3
10/15 07:15,3
10/15 08:15,2
10/15 09:15,8
10/15 10:15,4
10/15 11:15,4
10/15 12:15,13
10/15 13:15,4
10/15 14:15,4
10/15 15:15,1
10/15 16:15,5
10/15 17:15,2
10/15 18:15,1
10/15 19:15,1
10/15 20:15,1
10/15 21:15,1
10/15 22:15,1
10/15 23:15,0
10/16 00:15,0
10/16 01:15,0
10/16 02:15,0
10/16 03:15,0
10/16 04:15,0
10/16 05:15,0
10/16 06:15,0
