Time,Tweets
10/12 00:15,1
10/12 01:15,8
10/12 02:15,9
10/12 03:15,10
10/12 04:15,29
10/12 05:15,14
10/12 06:15,8
10/12 07:15,10
10/12 08:15,17
10/12 09:15,16
10/12 10:15,9
10/12 11:15,26
10/12 12:15,24
10/12 13:15,29
10/12 14:15,11
10/12 15:15,14
10/12 16:15,10
10/12 17:15,14
10/12 18:15,18
10/12 19:15,12
10/12 20:15,2
10/12 21:15,1
10/12 22:15,1
10/12 23:15,1
10/13 00:15,1
10/13 01:15,3
10/13 02:15,13
10/13 03:15,12
10/13 04:15,17
10/13 05:15,8
10/13 06:15,5
10/13 07:15,9
10/13 08:15,2
10/13 09:15,3
10/13 10:15,8
10/13 11:15,5
10/13 12:15,3
10/13 13:15,3
10/13 14:15,1
10/13 15:15,4
10/13 16:15,8
10/13 17:15,6
10/13 18:15,4
10/13 19:15,1
10/13 20:15,1
10/13 21:15,1
10/13 22:15,1
10/13 23:15,1
10/14 00:15,1
10/14 01:15,1
10/14 02:15,1
10/14 03:15,3
10/14 04:15,13
10/14 05:15,2
10/14 06:15,2
10/14 07:15,3
10/14 08:15,3
10/14 09:15,1
10/14 10:15,1
10/14 11:15,1
10/14 12:15,1
10/14 13:15,3
10/14 14:15,2
10/14 15:15,1
10/14 16:15,1
10/14 17:15,1
10/14 18:15,1
10/14 19:15,1
10/14 20:15,1
10/14 21:15,1
10/14 22:15,1
10/14 23:15,1
10/15 00:15,1
10/15 01:15,1
10/15 02:15,1
10/15 03:15,1
10/15 04:15,1
10/15 05:15,1
10/15 06:15,1
10/15 07:15,1
10/15 08:15,1
10/15 09:15,1
10/15 10:15,1
10/15 11:15,1
10/15 12:15,1
10/15 13:15,0
10/15 14:15,0
10/15 15:15,0
10/15 16:15,0
10/15 17:15,0
10/15 18:15,0
10/15 19:15,0
10/15 20:15,0
10/15 21:15,0
10/15 22:15,0
10/15 23:15,0
10/16 00:15,0
10/16 01:15,0
10/16 02:15,0
10/16 03:15,0
10/16 04:15,0
10/16 05:15,0
10/16 06:15,0
