Time,Tweets
10/12/2014 0:15,17
10/12/2014 1:15,33
10/12/2014 2:15,98
10/12/2014 3:15,131
10/12/2014 4:15,190
10/12/2014 5:15,181
10/12/2014 6:15,160
10/12/2014 7:15,191
10/12/2014 8:15,192
10/12/2014 9:15,156
10/12/2014 10:15,194
10/12/2014 11:15,228
10/12/2014 12:15,355
10/12/2014 13:15,370
10/12/2014 14:15,312
10/12/2014 15:15,326
10/12/2014 16:15,288
10/12/2014 17:15,260
10/12/2014 18:15,200
10/12/2014 19:15,140
10/12/2014 20:15,109
10/12/2014 21:15,52
10/12/2014 22:15,43
10/12/2014 23:15,31
10/13/2014 0:15,46
10/13/2014 1:15,70
10/13/2014 2:15,84
10/13/2014 3:15,116
10/13/2014 4:15,156
10/13/2014 5:15,157
10/13/2014 6:15,93
10/13/2014 7:15,93
10/13/2014 8:15,95
10/13/2014 9:15,76
10/13/2014 10:15,78
10/13/2014 11:15,73
10/13/2014 12:15,66
10/13/2014 13:15,71
10/13/2014 14:15,74
10/13/2014 15:15,60
10/13/2014 16:15,82
10/13/2014 17:15,52
10/13/2014 18:15,38
10/13/2014 19:15,23
10/13/2014 20:15,33
10/13/2014 21:15,17
10/13/2014 22:15,6
10/13/2014 23:15,7
10/14/2014 0:15,10
10/14/2014 1:15,5
10/14/2014 2:15,38
10/14/2014 3:15,43
10/14/2014 4:15,44
10/14/2014 5:15,31
10/14/2014 6:15,29
10/14/2014 7:15,52
10/14/2014 8:15,30
10/14/2014 9:15,24
10/14/2014 10:15,23
10/14/2014 11:15,29
10/14/2014 12:15,17
10/14/2014 13:15,35
10/14/2014 14:15,30
10/14/2014 15:15,25
10/14/2014 16:15,35
10/14/2014 17:15,17
10/14/2014 18:15,6
10/14/2014 19:15,14
10/14/2014 20:15,11
10/14/2014 21:15,6
10/14/2014 22:15,11
10/14/2014 23:15,1
10/15/2014 0:15,4
10/15/2014 1:15,7
10/15/2014 2:15,3
10/15/2014 3:15,5
10/15/2014 4:15,5
10/15/2014 5:15,3
10/15/2014 6:15,13
10/15/2014 7:15,14
10/15/2014 8:15,7
10/15/2014 9:15,20
10/15/2014 10:15,12
10/15/2014 11:15,8
10/15/2014 12:15,26
10/15/2014 13:15,13
10/15/2014 14:15,9
10/15/2014 15:15,6
10/15/2014 16:15,9
10/15/2014 17:15,7
10/15/2014 18:15,1
10/15/2014 19:15,1
10/15/2014 20:15,1
10/15/2014 21:15,1
10/15/2014 22:15,1
10/15/2014 23:15,1
10/16/2014 0:15,1
10/16/2014 1:15,1
10/16/2014 2:15,1
10/16/2014 3:15,1
10/16/2014 4:15,1
10/16/2014 5:15,0
10/16/2014 6:15,0
