Time,Tweets
10/12 00:16,1
10/12 01:16,2
10/12 02:16,3
10/12 03:16,6
10/12 04:16,9
10/12 05:16,1
10/12 06:16,8
10/12 07:16,9
10/12 08:16,8
10/12 09:16,3
10/12 10:16,5
10/12 11:16,11
10/12 12:16,17
10/12 13:16,19
10/12 14:16,14
10/12 15:16,14
10/12 16:16,11
10/12 17:16,6
10/12 18:16,6
10/12 19:16,5
10/12 20:16,5
10/12 21:16,1
10/12 22:16,1
10/12 23:16,1
10/13 00:16,3
10/13 01:16,1
10/13 02:16,5
10/13 03:16,9
10/13 04:16,2
10/13 05:16,7
10/13 06:16,5
10/13 07:16,5
10/13 08:16,1
10/13 09:16,2
10/13 10:16,5
10/13 11:16,6
10/13 12:16,1
10/13 13:16,1
10/13 14:16,3
10/13 15:16,1
10/13 16:16,1
10/13 17:16,1
10/13 18:16,1
10/13 19:16,1
10/13 20:16,1
10/13 21:16,1
10/13 22:16,1
10/13 23:16,1
10/14 00:16,1
10/14 01:16,1
10/14 02:16,1
10/14 03:16,1
10/14 04:16,1
10/14 05:16,1
10/14 06:16,1
10/14 07:16,1
10/14 08:16,1
10/14 09:16,1
10/14 10:16,1
10/14 11:16,1
10/14 12:16,1
10/14 13:16,1
10/14 14:16,1
10/14 15:16,0
10/14 16:16,0
10/14 17:16,0
10/14 18:16,0
10/14 19:16,0
10/14 20:16,0
10/14 21:16,0
10/14 22:16,0
10/14 23:16,0
10/15 00:16,0
10/15 01:16,0
10/15 02:16,0
10/15 03:16,0
10/15 04:16,0
10/15 05:16,0
10/15 06:16,0
10/15 07:16,0
10/15 08:16,0
10/15 09:16,0
10/15 10:16,0
10/15 11:16,0
10/15 12:16,0
10/15 13:16,0
10/15 14:16,0
10/15 15:16,0
10/15 16:16,0
10/15 17:16,0
10/15 18:16,0
10/15 19:16,0
10/15 20:16,0
10/15 21:16,0
10/15 22:16,0
10/15 23:16,0
10/16 00:16,0
10/16 01:16,0
10/16 02:16,0
10/16 03:16,0
10/16 04:16,0
10/16 05:16,0
10/16 06:16,0
