Time,Tweets
10/12/2014 0:16,6
10/12/2014 1:16,15
10/12/2014 2:16,24
10/12/2014 3:16,33
10/12/2014 4:16,76
10/12/2014 5:16,54
10/12/2014 6:16,54
10/12/2014 7:16,64
10/12/2014 8:16,53
10/12/2014 9:16,46
10/12/2014 10:16,40
10/12/2014 11:16,74
10/12/2014 12:16,95
10/12/2014 13:16,104
10/12/2014 14:16,80
10/12/2014 15:16,86
10/12/2014 16:16,74
10/12/2014 17:16,59
10/12/2014 18:16,77
10/12/2014 19:16,44
10/12/2014 20:16,31
10/12/2014 21:16,10
10/12/2014 22:16,6
10/12/2014 23:16,7
10/13/2014 0:16,8
10/13/2014 1:16,17
10/13/2014 2:16,36
10/13/2014 3:16,36
10/13/2014 4:16,40
10/13/2014 5:16,33
10/13/2014 6:16,22
10/13/2014 7:16,26
10/13/2014 8:16,19
10/13/2014 9:16,10
10/13/2014 10:16,26
10/13/2014 11:16,24
10/13/2014 12:16,19
10/13/2014 13:16,18
10/13/2014 14:16,11
10/13/2014 15:16,12
10/13/2014 16:16,21
10/13/2014 17:16,14
10/13/2014 18:16,5
10/13/2014 19:16,3
10/13/2014 20:16,5
10/13/2014 21:16,5
10/13/2014 22:16,1
10/13/2014 23:16,1
10/14/2014 0:16,3
10/14/2014 1:16,1
10/14/2014 2:16,11
10/14/2014 3:16,13
10/14/2014 4:16,22
10/14/2014 5:16,5
10/14/2014 6:16,8
10/14/2014 7:16,7
10/14/2014 8:16,9
10/14/2014 9:16,8
10/14/2014 10:16,5
10/14/2014 11:16,4
10/14/2014 12:16,7
10/14/2014 13:16,12
10/14/2014 14:16,9
10/14/2014 15:16,4
10/14/2014 16:16,5
10/14/2014 17:16,3
10/14/2014 18:16,1
10/14/2014 19:16,3
10/14/2014 20:16,2
10/14/2014 21:16,1
10/14/2014 22:16,1
10/14/2014 23:16,1
10/15/2014 0:16,1
10/15/2014 1:16,1
10/15/2014 2:16,1
10/15/2014 3:16,1
10/15/2014 4:16,1
10/15/2014 5:16,1
10/15/2014 6:16,1
10/15/2014 7:16,1
10/15/2014 8:16,1
10/15/2014 9:16,1
10/15/2014 10:16,1
10/15/2014 11:16,1
10/15/2014 12:16,10
10/15/2014 13:16,1
10/15/2014 14:16,3
10/15/2014 15:16,1
10/15/2014 16:16,1
10/15/2014 17:16,2
10/15/2014 18:16,1
10/15/2014 19:16,1
10/15/2014 20:16,0
10/15/2014 21:16,0
10/15/2014 22:16,0
10/15/2014 23:16,0
10/16/2014 0:16,0
10/16/2014 1:16,0
10/16/2014 2:16,0
10/16/2014 3:16,0
10/16/2014 4:16,0
10/16/2014 5:16,0
10/16/2014 6:16,0
