Time,Tweets
10/12 00:15,17
10/12 01:15,31
10/12 02:15,58
10/12 03:15,76
10/12 04:15,129
10/12 05:15,111
10/12 06:15,107
10/12 07:15,122
10/12 08:15,127
10/12 09:15,108
10/12 10:15,119
10/12 11:15,156
10/12 12:15,241
10/12 13:15,237
10/12 14:15,175
10/12 15:15,205
10/12 16:15,183
10/12 17:15,163
10/12 18:15,153
10/12 19:15,104
10/12 20:15,83
10/12 21:15,33
10/12 22:15,29
10/12 23:15,20
10/13 00:15,34
10/13 01:15,53
10/13 02:15,63
10/13 03:15,83
10/13 04:15,123
10/13 05:15,104
10/13 06:15,66
10/13 07:15,59
10/13 08:15,58
10/13 09:15,55
10/13 10:15,62
10/13 11:15,46
10/13 12:15,42
10/13 13:15,52
10/13 14:15,47
10/13 15:15,48
10/13 16:15,53
10/13 17:15,35
10/13 18:15,22
10/13 19:15,17
10/13 20:15,19
10/13 21:15,14
10/13 22:15,3
10/13 23:15,5
10/14 00:15,9
10/14 01:15,3
10/14 02:15,28
10/14 03:15,33
10/14 04:15,37
10/14 05:15,24
10/14 06:15,23
10/14 07:15,36
10/14 08:15,24
10/14 09:15,17
10/14 10:15,12
10/14 11:15,21
10/14 12:15,12
10/14 13:15,30
10/14 14:15,19
10/14 15:15,14
10/14 16:15,26
10/14 17:15,10
10/14 18:15,5
10/14 19:15,11
10/14 20:15,8
10/14 21:15,4
10/14 22:15,10
10/14 23:15,1
10/15 00:15,2
10/15 01:15,6
10/15 02:15,2
10/15 03:15,2
10/15 04:15,4
10/15 05:15,2
10/15 06:15,7
10/15 07:15,14
10/15 08:15,5
10/15 09:15,14
10/15 10:15,9
10/15 11:15,4
10/15 12:15,20
10/15 13:15,11
10/15 14:15,8
10/15 15:15,5
10/15 16:15,6
10/15 17:15,4
10/15 18:15,1
10/15 19:15,1
10/15 20:15,1
10/15 21:15,1
10/15 22:15,1
10/15 23:15,1
10/16 00:15,1
10/16 01:15,1
10/16 02:15,0
10/16 03:15,0
10/16 04:15,0
10/16 05:15,0
10/16 06:15,0
